algorithm,type,scenario,n,run,time_ns,peak_dynamic_bytes
mergesort,unknown,desc,2000,5,65800,16000
quicksort,unknown,desc,2000,5,3963300,0
mergesort,unknown,desc,2000,6,65900,16000
quicksort,unknown,desc,2000,6,3967200,0
mergesort,unknown,desc,2000,7,65700,16000
quicksort,unknown,desc,2000,7,3967900,0
mergesort,unknown,desc,2000,8,65800,16000
quicksort,unknown,desc,2000,8,3970300,0
mergesort,unknown,desc,2000,9,65800,16000
quicksort,unknown,desc,2000,9,3963600,0
mergesort,unknown,desc,2000,10,66100,16000
quicksort,unknown,desc,2000,10,3967500,0
mergesort,unknown,desc,2000,11,65800,16000
quicksort,unknown,desc,2000,11,3960500,0
mergesort,unknown,desc,2000,12,65700,16000
quicksort,unknown,desc,2000,12,3971800,0
mergesort,unknown,desc,2000,13,65100,16000
quicksort,unknown,desc,2000,13,3960900,0
mergesort,unknown,desc,2000,14,65800,16000
quicksort,unknown,desc,2000,14,3961600,0
mergesort,unknown,desc,2000,15,65500,16000
quicksort,unknown,desc,2000,15,3979800,0
mergesort,unknown,desc,2000,16,66400,16000
quicksort,unknown,desc,2000,16,3969300,0
mergesort,unknown,desc,2000,17,65500,16000
quicksort,unknown,desc,2000,17,3967300,0
mergesort,unknown,desc,2000,18,66400,16000
quicksort,unknown,desc,2000,18,3986700,0
mergesort,unknown,desc,2000,19,66400,16000
quicksort,unknown,desc,2000,19,3945200,0
mergesort,unknown,desc,2000,20,66000,16000
quicksort,unknown,desc,2000,20,3955000,0
mergesort,unknown,desc,2000,21,66000,16000
quicksort,unknown,desc,2000,21,3964400,0
mergesort,unknown,desc,2000,22,65400,16000
quicksort,unknown,desc,2000,22,3958800,0
mergesort,unknown,desc,2000,23,65800,16000
quicksort,unknown,desc,2000,23,3961600,0
mergesort,unknown,desc,2000,24,65300,16000
quicksort,unknown,desc,2000,24,3948600,0
mergesort,unknown,desc,2000,25,65200,16000
quicksort,unknown,desc,2000,25,3960300,0
mergesort,unknown,desc,2000,26,65600,16000
quicksort,unknown,desc,2000,26,3955300,0
mergesort,unknown,desc,2000,27,66700,16000
quicksort,unknown,desc,2000,27,3960500,0
mergesort,unknown,desc,2000,28,65700,16000
quicksort,unknown,desc,2000,28,3963400,0
mergesort,unknown,desc,2000,29,65700,16000
quicksort,unknown,desc,2000,29,3961000,0
mergesort,unknown,desc,2000,30,65600,16000
quicksort,unknown,desc,2000,30,3968800,0
mergesort,unknown,random,2000,1,163700,16000
quicksort,unknown,random,2000,1,131300,0
mergesort,unknown,random,2000,2,162500,16000
quicksort,unknown,random,2000,2,132700,0
mergesort,unknown,random,2000,3,161100,16000
quicksort,unknown,random,2000,3,133600,0
mergesort,unknown,random,2000,4,161900,16000
quicksort,unknown,random,2000,4,131100,0
mergesort,unknown,random,2000,5,160600,16000
quicksort,unknown,random,2000,5,130800,0
mergesort,unknown,random,2000,6,159900,16000
quicksort,unknown,random,2000,6,129700,0
mergesort,unknown,random,2000,7,160300,16000
quicksort,unknown,random,2000,7,133200,0
mergesort,unknown,random,2000,8,158400,16000
quicksort,unknown,random,2000,8,128600,0
mergesort,unknown,random,2000,9,159600,16000
quicksort,unknown,random,2000,9,133500,0
mergesort,unknown,random,2000,10,160100,16000
quicksort,unknown,random,2000,10,132200,0
mergesort,unknown,random,2000,11,158600,16000
quicksort,unknown,random,2000,11,132500,0
mergesort,unknown,random,2000,12,160500,16000
quicksort,unknown,random,2000,12,130800,0
mergesort,unknown,random,2000,13,159700,16000
quicksort,unknown,random,2000,13,128300,0
mergesort,unknown,random,2000,14,160500,16000
quicksort,unknown,random,2000,14,132300,0
mergesort,unknown,random,2000,15,161400,16000
quicksort,unknown,random,2000,15,133800,0
mergesort,unknown,random,2000,16,160300,16000
quicksort,unknown,random,2000,16,137400,0
mergesort,unknown,random,2000,17,160800,16000
quicksort,unknown,random,2000,17,129700,0
mergesort,unknown,random,2000,18,160300,16000
quicksort,unknown,random,2000,18,129400,0
mergesort,unknown,random,2000,19,160000,16000
quicksort,unknown,random,2000,19,131700,0
mergesort,unknown,random,2000,20,160100,16000
quicksort,unknown,random,2000,20,134900,0
mergesort,unknown,random,2000,21,160000,16000
quicksort,unknown,random,2000,21,132300,0
mergesort,unknown,random,2000,22,160400,16000
quicksort,unknown,random,2000,22,130200,0
mergesort,unknown,random,2000,23,161100,16000
quicksort,unknown,random,2000,23,130500,0
mergesort,unknown,random,2000,24,160900,16000
quicksort,unknown,random,2000,24,131200,0
mergesort,unknown,random,2000,25,159600,16000
quicksort,unknown,random,2000,25,132000,0
mergesort,unknown,random,2000,26,159900,16000
quicksort,unknown,random,2000,26,133500,0
mergesort,unknown,random,2000,27,159900,16000
quicksort,unknown,random,2000,27,126000,0
mergesort,unknown,random,2000,28,159300,16000
quicksort,unknown,random,2000,28,132700,0
mergesort,unknown,random,2000,29,159200,16000
quicksort,unknown,random,2000,29,132100,0
mergesort,unknown,random,2000,30,159300,16000
quicksort,unknown,random,2000,30,132800,0
mergesort,unknown,asc,3000,1,104000,24000
quicksort,unknown,asc,3000,1,13716300,0
mergesort,unknown,asc,3000,2,103400,24000
quicksort,unknown,asc,3000,2,14290600,0
mergesort,unknown,asc,3000,3,105800,24000
quicksort,unknown,asc,3000,3,14458400,0
mergesort,unknown,asc,3000,4,106800,24000
quicksort,unknown,asc,3000,4,14327800,0
mergesort,unknown,asc,3000,5,108500,24000
quicksort,unknown,asc,3000,5,14271400,0
mergesort,unknown,asc,3000,6,105600,24000
quicksort,unknown,asc,3000,6,13761100,0
mergesort,unknown,asc,3000,7,103300,24000
quicksort,unknown,asc,3000,7,13765000,0
mergesort,unknown,asc,3000,8,104600,24000
quicksort,unknown,asc,3000,8,13756200,0
mergesort,unknown,asc,3000,9,103600,24000
quicksort,unknown,asc,3000,9,13808400,0
mergesort,unknown,asc,3000,10,104400,24000
quicksort,unknown,asc,3000,10,14090300,0
mergesort,unknown,asc,3000,11,157000,24000
quicksort,unknown,asc,3000,11,14912100,0
mergesort,unknown,asc,3000,12,106000,24000
quicksort,unknown,asc,3000,12,14084800,0
mergesort,unknown,asc,3000,13,106300,24000
quicksort,unknown,asc,3000,13,14122400,0
mergesort,unknown,asc,3000,14,105800,24000
quicksort,unknown,asc,3000,14,13740500,0
mergesort,unknown,asc,3000,15,105200,24000
quicksort,unknown,asc,3000,15,13687700,0
mergesort,unknown,asc,3000,16,103200,24000
quicksort,unknown,asc,3000,16,13714400,0
mergesort,unknown,asc,3000,17,103100,24000
quicksort,unknown,asc,3000,17,13760100,0
mergesort,unknown,asc,3000,18,103500,24000
quicksort,unknown,asc,3000,18,13591400,0
mergesort,unknown,asc,3000,19,104600,24000
quicksort,unknown,asc,3000,19,13678900,0
mergesort,unknown,asc,3000,20,103700,24000
quicksort,unknown,asc,3000,20,13837500,0
mergesort,unknown,asc,3000,21,104500,24000
quicksort,unknown,asc,3000,21,13741000,0
mergesort,unknown,asc,3000,22,104700,24000
quicksort,unknown,asc,3000,22,14112900,0
mergesort,unknown,asc,3000,23,102700,24000
quicksort,unknown,asc,3000,23,13542700,0
mergesort,unknown,asc,3000,24,103200,24000
quicksort,unknown,asc,3000,24,13647200,0
mergesort,unknown,asc,3000,25,103100,24000
quicksort,unknown,asc,3000,25,14115900,0
mergesort,unknown,asc,3000,26,102500,24000
quicksort,unknown,asc,3000,26,13609100,0
mergesort,unknown,asc,3000,27,102000,24000
quicksort,unknown,asc,3000,27,13822300,0
mergesort,unknown,asc,3000,28,102300,24000
quicksort,unknown,asc,3000,28,13589700,0
mergesort,unknown,asc,3000,29,103400,24000
quicksort,unknown,asc,3000,29,13785400,0
mergesort,unknown,asc,3000,30,102700,24000
quicksort,unknown,asc,3000,30,13637200,0
mergesort,unknown,desc,3000,1,103200,24000
quicksort,unknown,desc,3000,1,8954200,0
mergesort,unknown,desc,3000,2,105600,24000
quicksort,unknown,desc,3000,2,9244600,0
mergesort,unknown,desc,3000,3,102900,24000
quicksort,unknown,desc,3000,3,8820100,0
mergesort,unknown,desc,3000,4,102300,24000
quicksort,unknown,desc,3000,4,8912100,0
mergesort,unknown,desc,3000,5,102100,24000
quicksort,unknown,desc,3000,5,8903200,0
mergesort,unknown,desc,3000,6,105100,24000
quicksort,unknown,desc,3000,6,8800200,0
mergesort,unknown,desc,3000,7,104200,24000
quicksort,unknown,desc,3000,7,8881700,0
mergesort,unknown,desc,3000,8,106000,24000
quicksort,unknown,desc,3000,8,8931900,0
mergesort,unknown,desc,3000,9,102300,24000
quicksort,unknown,desc,3000,9,9587100,0
mergesort,unknown,desc,3000,10,102100,24000
quicksort,unknown,desc,3000,10,8767800,0
mergesort,unknown,desc,3000,11,101400,24000
quicksort,unknown,desc,3000,11,8962000,0
mergesort,unknown,desc,3000,12,101200,24000
quicksort,unknown,desc,3000,12,9169200,0
mergesort,unknown,desc,3000,13,102300,24000
quicksort,unknown,desc,3000,13,8792100,0
mergesort,unknown,desc,3000,14,101200,24000
quicksort,unknown,desc,3000,14,8807900,0
mergesort,unknown,desc,3000,15,101800,24000
